image_name,result
Gambar1.jpg,"The image depicts a dimly lit street at night, lined with trees and a few shops, with a wet pavement reflecting the light from nearby sources."
Gambar10.jpg,"The image depicts a dimly lit street at night, featuring scattered lighting from street lamps and vehicle headlights, with a few people and parked motorcycles visible along the road."
Gambar11.jpg,"The image shows a nighttime scene of a busy roadside, featuring a brightly lit sign for a food place, with several people gathered around a tent and vehicles passing by."
Gambar2.jpg,"The image depicts a narrow, quiet street lined with modest houses, greenery, and scattered debris, under a cloudy sky."
Gambar3.jpg,"The image depicts a quiet, somewhat deserted street lined with modest buildings under a cloudy sky, with electrical wires overhead and a motorcycle parked on the side."
Gambar4.jpg,blur
Gambar5.jpg,blur
Gambar6.jpg,blur
Gambar7.jpg,"The image depicts a narrow, dimly lit alleyway lined with greenery and colorful flowers, featuring a few parked motorcycles and a cat wandering along the street."
Gambar8.jpg,"The image depicts a quiet residential street lined with houses, parked vehicles, and a motorcycle, under a partly cloudy sky."
Gambar9.jpg,blur
